Protein IDs,Majority protein IDs,Protein names,Gene names,UPS2/1 ratio,
P0AEC5,P0AEC5,Signal transduction histidine-protein kinase BarA,barA,,
P30843,P30843,Transcriptional regulatory protein BasR,basR,,
P30844,P30844,Sensor protein BasS,basS,,
P0AE52,P0AE52,Putative peroxiredoxin bcp,bcp,,
P28246,P28246,Bicyclomycin resistance protein,bcr,,
P37652,P37652,Cyclic di-GMP-binding protein,bcsB,,
P37650,P37650,Cellulose synthase operon protein C,bcsC,,
P37659,P37659,Protein BcsG homolog,bcsG,,
P37651,P37651,Endoglucanase,bcsZ,,
P17444,P17444,Choline dehydrogenase,betA,,
P17445,P17445,Betaine aldehyde dehydrogenase,betB,,
P17446,P17446,HTH-type transcriptional regulator BetI,betI,,
P0ABD3,P0ABD3,Bacterioferritin,bfr,,
Q46829,Q46829,6-phospho-beta-glucosidase BglA,bglA,,
P33363,P33363,Periplasmic beta-glucosidase,bglX,,
P0A6E9,P0A6E9,ATP-dependent dethiobiotin synthetase BioD 2,bioD2,,
P13001,P13001,Pimelyl-[acyl-carrier protein] methyl ester esterase,bioH,,
P06709,P06709,Bifunctional protein BirA;Biotin operon repressor;Biotin--[acetyl-CoA-carboxylase] synthetase,birA,,
P20099;P46923,P20099,Biotin sulfoxide reductase,bisC,,
P0A901,P0A901,Outer membrane lipoprotein blc,blc,,
P0ABE2,P0ABE2,Protein BolA,bolA,,
P77330,P77330,Lipoprotein bor homolog from lambdoid prophage DLP12,borD,,
P0AAY1,P0AAY1,Biofilm regulator BssR,bssR,,
P06129,P06129,Vitamin B12 transporter BtuB,btuB,,
P06610,P06610,Vitamin B12 transport periplasmic protein BtuE,btuE,,
P37028,P37028,Vitamin B12-binding protein,btuF,,
P0A9H5,P0A9H5,"Cob(I)yrinic acid a,c-diamide adenosyltransferase",btuR,,
P31551,P31551,Carnitinyl-CoA dehydratase,caiD,,
P61517,P61517,Carbonic anhydrase 2,can,,
P0A6F1,P0A6F1,Carbamoyl-phosphate synthase small chain,carA,,
P00968,P00968,Carbamoyl-phosphate synthase large chain,carB,,
P36659,P36659,Curved DNA-binding protein,cbpA,,
P06961,P06961,"Multifunctional CCA protein;CCA-adding enzyme;2-nucleotidase;2,3-cyclic phosphodiesterase;Phosphatase",cca,,
P69490,P69490,Cytochrome c-type biogenesis protein CcmE,ccmE,,
P0ABF6,P0ABF6,Cytidine deaminase,cdd,,
P06282,P06282,CDP-diacylglycerol pyrophosphatase,cdh,,
P0AE60,P0AE60,Cell division activator CedA,cedA,,
P0A9H7,P0A9H7,Cyclopropane-fatty-acyl-phospholipid synthase,cfa,,
P0AE63,P0AE63,Cation transport regulator ChaB,chaB,,
P69795,P69795,"N,N-diacetylchitobiose-specific phosphotransferase enzyme IIB component",chbB,,
P07363-2;P07363,P07363-2;P07363,Chemotaxis protein CheA,cheA,,
P0A964,P0A964,Chemotaxis protein CheW,cheW,,
P0AE67,P0AE67,Chemotaxis protein CheY,cheY,,
P13656,P13656,Probable bifunctional chitinase/lysozyme;Chitinase;Lysozyme,chiA,,
P17315,P17315,Colicin I receptor,cirA,,
P37019,P37019,H(+)/Cl(-) exchange transporter ClcA,clcA,,
P0ABH9,P0ABH9,ATP-dependent Clp protease ATP-binding subunit ClpA,clpA,,
P63284,P63284,Chaperone protein ClpB,clpB,,
P0A6G7,P0A6G7,ATP-dependent Clp protease proteolytic subunit,clpP,,
P0A6H1,P0A6H1,ATP-dependent Clp protease ATP-binding subunit ClpX,clpX,,
P0A6H8,P0A6H8,Cardiolipin synthase,cls,,
P0A6I0,P0A6I0,Cytidylate kinase,cmk,,
P76290,P76290,tRNA (cmo5U34)-methyltransferase,cmoA,,
P76291,P76291,tRNA (mo5U34)-methyltransferase,cmoB,,
P64467,P64467,OriC-binding nucleoid-associated protein,cnu,,
P0A6I3,P0A6I3,Pantothenate kinase,coaA,,
P0ABQ0,P0ABQ0,Coenzyme A biosynthesis bifunctional protein CoaBC;Phosphopantothenoylcysteine decarboxylase;Phosphopantothenate--cysteine ligase,coaBC,,
P0A6I6,P0A6I6,Phosphopantetheine adenylyltransferase,coaD,,
P0A6I9,P0A6I9,Dephospho-CoA kinase,coaE,,
P75960,P75960,NAD-dependent protein deacylase,cobB,,
P36561,P36561,Cobalamin synthase,cobS,,
P36562,P36562,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,cobT,,
P25524,P25524,Cytosine deaminase,codA,,
Q59385,Q59385,Copper-exporting P-type ATPase A,copA,,
P0ABI4,P0ABI4,Magnesium transport protein CorA,corA,,
P0AE78,P0AE78,Magnesium and cobalt efflux protein CorC,corC,,
P0AEW4,P0AEW4,"3,5-cyclic adenosine monophosphate phosphodiesterase CpdA",cpdA,,
P0CB39,P0CB39,Phosphoethanolamine transferase CptA,cptA,,
P0AE82,P0AE82,Sensor protein CpxA,cpxA,,
P0AE85,P0AE85,Periplasmic protein CpxP,cpxP,,
P0AE88,P0AE88,Transcriptional regulatory protein CpxR,cpxR,,
P0ACP1,P0ACP1,Catabolite repressor/activator,cra,,
P0AE91,P0AE91,Protein CreA,creA,,
P08368,P08368,Transcriptional regulatory protein CreB,creB,,
P08369,P08369,Inner membrane protein CreD,creD,,
P24251,P24251,Sigma factor-binding protein crl,crl,,
P0ACJ8,P0ACJ8,Catabolite gene activator,crp,,
P69783,P69783,Glucose-specific phosphotransferase enzyme IIA component,crr,,
Q46925,Q46925,Cysteine sulfinate desulfinase,csdA,,
P76621,P76621,Protein CsiD,csiD,,
P54901,P54901,Stationary phase-inducible protein CsiE,csiE,,
P0A9X9;P0A978,P0A9X9;P0A978,Cold shock protein CspA;Cold shock-like protein CspG,cspA;cspG,,
P0A9Y6,P0A9Y6,Cold shock-like protein CspC,cspC,,
P0A968,P0A968,Cold shock-like protein CspD,cspD,,
P0A972,P0A972,Cold shock-like protein CspE,cspE,,
P69913,P69913,Carbon storage regulator,csrA,,
P13518,P13518,RNase E specificity factor CsrD,csrD,,
P15078,P15078,Carbon starvation protein A,cstA,,
P36649,P36649,Blue copper oxidase CueO,cueO,,
P76113,P76113,NADPH-dependent curcumin reductase,curA,,
P77214,P77214,Cation efflux system protein CusF,cusF,,
P0ACZ8,P0ACZ8,Transcriptional regulatory protein CusR,cusR,,
P77485,P77485,Sensor kinase CusS,cusS,,
P69488,P69488,Divalent-cation tolerance protein CutA,cutA,,
P67826,P67826,Copper homeostasis protein CutC,cutC,,
P76007,P76007,Cell volume regulation protein A,cvrA,,
P00936,P00936,Adenylate cyclase,cyaA,,
P27838,P27838,Protein CyaY,cyaY,,
P0AAE0,P0AAE0,D-serine/D-alanine/glycine transporter,cycA,,
P0ABJ9,P0ABJ9,Cytochrome d ubiquinol oxidase subunit 1,cydA,,
P0ABK2,P0ABK2,Cytochrome d ubiquinol oxidase subunit 2,cydB,,
P23886,P23886,ATP-binding/permease protein CydC,cydC,,
P29018,P29018,ATP-binding/permease protein CydD,cydD,,
P0ABJ1,P0ABJ1,Ubiquinol oxidase subunit 2,cyoA,,
P0ABI8,P0ABI8,Ubiquinol oxidase subunit 1,cyoB,,
P0ABJ6,P0ABJ6,Cytochrome o ubiquinol oxidase protein CyoD,cyoD,,
P16676,P16676,Sulfate/thiosulfate import ATP-binding protein CysA,cysA,,
P0A9F3,P0A9F3,HTH-type transcriptional regulator CysB,cysB,,
P21156,P21156,Sulfate adenylyltransferase subunit 2,cysD,,
P0A9D4,P0A9D4,Serine acetyltransferase,cysE,,
P0AEA8,P0AEA8,Siroheme synthase;Uroporphyrinogen-III C-methyltransferase;Precorrin-2 dehydrogenase;Sirohydrochlorin ferrochelatase,cysG,,
P17854,P17854,Phosphoadenosine phosphosulfate reductase,cysH,,
P17846,P17846,Sulfite reductase [NADPH] hemoprotein beta-component,cysI,,
P38038,P38038,Sulfite reductase [NADPH] flavoprotein alpha-component,cysJ,,
P0ABK5,P0ABK5,Cysteine synthase A,cysK,,
P16703,P16703,Cysteine synthase B,cysM,,
P23845,P23845,Sulfate adenylyltransferase subunit 1,cysN,,
P16700,P16700,Thiosulfate-binding protein,cysP,,
P22255,P22255,"3(2),5-bisphosphate nucleotidase CysQ",cysQ,,
P21888,P21888,Cysteine--tRNA ligase,cysS,,
P0A6J3,P0A6J3,Protein CysZ,cysZ,,
P0ACN7,P0ACN7,HTH-type transcriptional repressor CytR,cytR,,
P0AEB2,P0AEB2,D-alanyl-D-alanine carboxypeptidase dacA,dacA,,
P24228,P24228,D-alanyl-D-alanine carboxypeptidase dacB,dacB,,
P08506,P08506,D-alanyl-D-alanine carboxypeptidase dacC,dacC,,
P0A6J5,P0A6J5,D-amino acid dehydrogenase small subunit,dadA,,
P29012,P29012,"Alanine racemase, catabolic",dadX,,
P0AEE8,P0AEE8,DNA adenine methylase,dam,,
P11557,P11557,Protein damX,damX,,
P0A6L2,P0A6L2,Dihydrodipicolinate synthase,dapA,,
P04036,P04036,Dihydrodipicolinate reductase,dapB,,
P0A9D8,P0A9D8,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",dapD,,
P0AED7,P0AED7,Succinyl-diaminopimelate desuccinylase,dapE,,
P0A6K1,P0A6K1,Diaminopimelate epimerase,dapF,,
P28248,P28248,Deoxycytidine triphosphate deaminase,dcd,,
P0AED9,P0AED9,DNA-cytosine methyltransferase,dcm,,
P24171,P24171,Peptidyl-dipeptidase dcp,dcp,,
P0AEE1,P0AEE1,Protein dcrB,dcrB,,
P0A830,P0A830,Aerobic C4-dicarboxylate transport protein,dctA,,
P0ABN5,P0ABN5,Anaerobic C4-dicarboxylate transporter DcuA,dcuA,,
P0AD01,P0AD01,Transcriptional regulatory protein DcuR,dcuR,,
P76316,P76316,D-cysteine desulfhydrase,dcyD,,
P0A6J8,P0A6J8,D-alanine--D-alanine ligase A,ddlA,,
P07862,P07862,D-alanine--D-alanine ligase B,ddlB,,
P76128,P76128,"Probable D,D-dipeptide-binding periplasmic protein ddpA",ddpA,,
P09549,P09549,Protein dedD,dedD,,
P0A6K3,P0A6K3,Peptide deformylase,def,,
P0C0V0,P0C0V0,Periplasmic serine endoprotease DegP,degP,,
P39099,P39099,Periplasmic pH-dependent serine endoprotease DegQ,degQ,,
P0AEE3,P0AEE3,Serine endoprotease DegS,degS,,
P07650,P07650,Thymidine phosphorylase,deoA,,
P0A6K6,P0A6K6,Phosphopentomutase,deoB,,
P0A6L0,P0A6L0,Deoxyribose-phosphate aldolase,deoC,,
P0ABP8,P0ABP8,Purine nucleoside phosphorylase DeoD-type,deoD,,
P0ACK5,P0ACK5,Deoxyribose operon repressor,deoR,,
P0A6P5,P0A6P5,GTPase Der,der,,
P0ABN1,P0ABN1,Diacylglycerol kinase,dgkA,,
Q6BF17,Q6BF17,D-galactonate dehydratase,dgoD,,
P31460,P31460,Galactonate operon transcriptional repressor,dgoR,,
P15723,P15723,Deoxyguanosinetriphosphate triphosphohydrolase,dgt,,
P76015,P76015,"PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit dhaK",dhaK,,
P76014,P76014,"PTS-dependent dihydroxyacetone kinase, ADP-binding subunit dhaL",dhaL,,
P37349,P37349,"PTS-dependent dihydroxyacetone kinase, phosphotransferase subunit dhaM;Phosphocarrier protein HPr;Phosphotransferase enzyme IIA component",dhaM,,
P66817,P66817,DnaA initiator-associating protein DiaA,diaA,,
P06966,P06966,HTH-type transcriptional regulator DicA,dicA,,
Q47150,Q47150,Antitoxin DinJ,dinJ,,
P31680,P31680,DnaJ-like protein DjlA,djlA,,
Q46857,Q46857,"2,5-diketo-D-gluconic acid reductase A",dkgA,,
P30863,P30863,"2,5-diketo-D-gluconic acid reductase B",dkgB,,
P0ABS1,P0ABS1,DnaK suppressor protein,dksA,,
P06149,P06149,D-lactate dehydrogenase,dld,,
P76251,P76251,D-malate dehydrogenase [decarboxylating],dmlA,,
P69853,P69853,Tat proofreading chaperone DmsD,dmsD,,
P03004,P03004,Chromosomal replication initiator protein DnaA,dnaA,,
P0ACB0,P0ACB0,Replicative DNA helicase,dnaB,,
P0AEF0,P0AEF0,DNA replication protein dnaC,dnaC,,
P10443,P10443,DNA polymerase III subunit alpha,dnaE,,
P0ABS5,P0ABS5,DNA primase,dnaG,,
P08622,P08622,Chaperone protein DnaJ,dnaJ,,
P0A6Y8,P0A6Y8,Chaperone protein DnaK,dnaK,,
P0A988,P0A988,DNA polymerase III subunit beta,dnaN,,
P0A8J2,P0A8J2,Primosomal protein 1,dnaT,,
P06710,P06710,DNA polymerase III subunit tau,dnaX,,
P0AA89,P0AA89,Diguanylate cyclase DosC,dosC,,
P23847,P23847,Periplasmic dipeptide transport protein,dppA,,
P0AAG0,P0AAG0,Dipeptide transport ATP-binding protein DppD,dppD,,
P37313,P37313,Dipeptide transport ATP-binding protein DppF,dppF,,
P0ABT2,P0ABT2,DNA protection during starvation protein,dps,,
P0AEG4,P0AEG4,Thiol:disulfide interchange protein DsbA,dsbA,,
P0A6M2,P0A6M2,Disulfide bond formation protein B,dsbB,,
P0AEG6,P0AEG6,Thiol:disulfide interchange protein DsbC,dsbC,,
P36655,P36655,Thiol:disulfide interchange protein DsbD,dsbD,,
P77202,P77202,Thiol:disulfide interchange protein DsbG,dsbG,,
P00926,P00926,D-serine dehydratase,dsdA,,
P0A6M4,P0A6M4,D-tyrosyl-tRNA(Tyr) deacylase,dtd,,
P36837,P36837,Dipeptide and tripeptide permease B,dtpB,,
P32695,P32695,tRNA-dihydrouridine synthase A,dusA,,
P0ABT5,P0ABT5,tRNA-dihydrouridine synthase B,dusB,,
P33371,P33371,tRNA-dihydrouridine synthase C,dusC,,
P06968,P06968,Deoxyuridine 5-triphosphate nucleotidohydrolase,dut,,
P45568,P45568,1-deoxy-D-xylulose 5-phosphate reductoisomerase,dxr,,
P77488,P77488,1-deoxy-D-xylulose-5-phosphate synthase,dxs,,
P06846,P06846,HTH-type transcriptional regulator EbgR,ebgR,,
P0ADB7,P0ADB7,Entericidin B,ecnB,,
P23827,P23827,Ecotin,eco,,
P0A955,P0A955,KHG/KDPG aldolase;4-hydroxy-2-oxoglutarate aldolase;2-dehydro-3-deoxy-phosphogluconate aldolase,eda,,
P0ADF6,P0ADF6,Phosphogluconate dehydratase,edd,,
P0AB24,P0AB24,Iron uptake system component EfeO,efeO,,
P0A6N4,P0A6N4,Elongation factor P,efp,,
P0AEH3,P0AEH3,Protein elaA,elaA,,
P0AEH5,P0AEH5,Protein elaB,elaB,,
P0ABU5,P0ABU5,Enhancing lycopene biosynthesis protein 2,elbB,,
P27303,P27303,Multidrug resistance protein A,emrA,,
P52599,P52599,Multidrug resistance protein K,emrK,,
P0C960,P0C960,Endo-type membrane-bound lytic murein transglycosylase A,emtA,,
P0A6P7,P0A6P7,Probable GTP-binding protein EngB,engB,,
P0ABU2,P0ABU2,GTP-dependent nucleic acid-binding protein engD,engD,,
P0A6P9,P0A6P9,Enolase,eno,,
P15047,P15047,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",entA,,
P0ADI4,P0ADI4,Isochorismatase,entB,,
P10378,P10378,"Enterobactin synthase component E;2,3-dihydroxybenzoate-AMP ligase;S-dihydroxybenzoyltransferase",entE,,
P11454,P11454,Enterobactin synthase component F,entF,,
P37690,P37690,Murein hydrolase activator EnvC,envC,,
P0AEJ4,P0AEJ4,Osmolarity sensor protein EnvZ,envZ,,
P0A9B6,P0A9B6,D-erythrose-4-phosphate dehydrogenase,epd,,
P37661,P37661,Phosphoethanolamine transferase eptB,eptB,,
P06616,P06616,GTPase Era,era,,
P39176,P39176,"Probable L,D-transpeptidase ErfK/SrfK",erfK,,
P0ACC3,P0ACC3,Iron-sulfur cluster insertion protein ErpA,erpA,,
P0AEJ6,P0AEJ6,Ethanolamine ammonia-lyase heavy chain,eutB,,
P19636,P19636,Ethanolamine ammonia-lyase light chain,eutC,,
P76541,P76541,Ethanolamine utilization protein EutL,eutL,,
P0ABF4,P0ABF4,Ethanolamine utilization protein EutM,eutM,,
P0ACZ4,P0ACZ4,Positive transcription regulator EvgA,evgA,,
P0ABU7,P0ABU7,Biopolymer transport protein exbB,exbB,,
P0AEK0,P0AEK0,Exodeoxyribonuclease 10,exoX,,
P0ACL2,P0ACL2,Exu regulon transcriptional regulator,exuR,,
P0A6Q3,P0A6Q3,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase,fabA,,
P0A953,P0A953,3-oxoacyl-[acyl-carrier-protein] synthase 1,fabB,,
P0AAI9,P0AAI9,Malonyl CoA-acyl carrier protein transacylase,fabD,,
P0AAI5,P0AAI5,3-oxoacyl-[acyl-carrier-protein] synthase 2,fabF,,
P0AEK2,P0AEK2,3-oxoacyl-[acyl-carrier-protein] reductase FabG,fabG,,
P0A6R0,P0A6R0,3-oxoacyl-[acyl-carrier-protein] synthase 3,fabH,,
P0AEK4,P0AEK4,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI,fabI,,
P0ACU5,P0ACU5,HTH-type transcriptional repressor FabR,fabR,,
P0A6Q6,P0A6Q6,(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase,fabZ,,
P21151,P21151,3-ketoacyl-CoA thiolase,fadA,,
